,state41.html,state16.html,state9.html,state100.html,state57.html,state94.html,state5.html,state20.html,state98.html,state61.html,state36.html,state76.html,index.html,state83.html,state56.html,state17.html,state67.html,state88.html,state30.html,state47.html,state110.html,state106.html,state92.html,state85.html,state50.html,state11.html,state70.html,state27.html,state32.html,state65.html,state108.html,state90.html,state104.html,state12.html,state112.html,state45.html,state13.html,state52.html,state29.html,state87.html,state68.html,state48.html,state25.html,state72.html,state38.html,state96.html,state79.html,state102.html,state114.html,state43.html,state34.html,state63.html,state22.html,state59.html,state7.html,state6.html,state19.html,state23.html,state74.html,state54.html,state78.html,state81.html,state39.html
state41.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state16.html,0.70,1.00,0.84,0.70,0.69,0.75,0.80,0.69,0.70,0.70,0.75,0.75,0.80,0.70,0.98,0.69,0.98,0.69,0.69,0.87,0.75,0.70,0.70,0.75,0.70,0.75,0.70,0.70,0.70,0.70,0.75,0.70,0.75,0.98,0.70,0.75,0.69,0.70,0.98,0.90,0.69,0.69,0.70,0.70,0.98,0.70,0.69,0.75,0.75,0.70,0.70,0.75,0.91,0.70,0.68,0.70,0.70,0.69,0.75,0.75,0.98,0.70,0.69
state9.html,0.70,0.84,1.00,0.69,0.69,0.74,0.82,0.69,0.70,0.69,0.74,0.74,0.87,0.69,0.84,0.69,0.84,0.69,0.69,0.76,0.74,0.69,0.69,0.74,0.70,0.77,0.70,0.69,0.70,0.69,0.74,0.70,0.74,0.84,0.69,0.74,0.69,0.69,0.84,0.79,0.69,0.69,0.70,0.69,0.84,0.69,0.69,0.74,0.74,0.69,0.69,0.74,0.79,0.70,0.67,0.69,0.70,0.69,0.74,0.74,0.84,0.70,0.69
state100.html,0.99,0.70,0.69,1.00,0.85,0.84,0.75,0.99,0.99,0.99,0.84,0.84,0.67,1.00,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,0.99,0.99,0.99,0.83,0.99,0.82,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state57.html,0.85,0.69,0.69,0.85,1.00,0.78,0.75,0.85,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state94.html,0.84,0.75,0.74,0.84,0.78,1.00,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.84,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,0.99,0.74,0.84,0.76,0.79,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state5.html,0.75,0.80,0.82,0.75,0.75,0.79,1.00,0.74,0.75,0.75,0.79,0.79,0.86,0.75,0.80,0.75,0.80,0.75,0.75,0.73,0.79,0.75,0.75,0.78,0.75,0.69,0.75,0.75,0.75,0.75,0.79,0.75,0.78,0.80,0.75,0.79,0.75,0.75,0.80,0.75,0.75,0.75,0.75,0.75,0.80,0.75,0.75,0.79,0.79,0.75,0.75,0.79,0.75,0.75,0.73,0.76,0.75,0.75,0.79,0.79,0.80,0.75,0.75
state20.html,0.99,0.69,0.69,0.99,0.85,0.83,0.74,1.00,0.99,0.98,0.83,0.83,0.67,0.99,0.69,0.85,0.69,0.84,0.85,0.67,0.83,0.98,0.98,0.82,0.99,0.64,0.99,0.98,0.99,0.98,0.83,0.99,0.82,0.69,0.98,0.83,0.85,0.98,0.69,0.68,0.85,0.85,0.99,0.98,0.69,0.98,0.84,0.83,0.83,0.98,0.98,0.83,0.68,0.99,0.84,0.85,0.99,0.84,0.83,0.83,0.69,0.99,0.85
state98.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state61.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,1.00,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,0.99,0.64,0.99,0.99,0.99,0.99,0.84,0.99,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state36.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,1.00,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.84,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,0.99,0.73,0.84,0.76,0.79,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state76.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,1.00,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.83,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,0.99,0.73,0.84,0.76,0.78,0.84,0.78,0.99,1.00,0.75,0.84,0.78
index.html,0.68,0.80,0.87,0.67,0.66,0.70,0.86,0.67,0.68,0.67,0.70,0.70,1.00,0.67,0.80,0.66,0.80,0.66,0.66,0.71,0.70,0.67,0.67,0.69,0.68,0.68,0.68,0.67,0.68,0.67,0.70,0.68,0.69,0.80,0.67,0.70,0.66,0.67,0.80,0.73,0.66,0.66,0.68,0.67,0.80,0.67,0.66,0.70,0.70,0.67,0.67,0.70,0.73,0.68,0.64,0.67,0.68,0.66,0.70,0.70,0.80,0.68,0.66
state83.html,0.99,0.70,0.69,1.00,0.85,0.84,0.75,0.99,0.99,0.99,0.84,0.84,0.67,1.00,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,0.99,0.99,0.99,0.84,0.99,0.82,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state56.html,0.70,0.98,0.84,0.70,0.69,0.75,0.80,0.69,0.70,0.70,0.75,0.75,0.80,0.70,1.00,0.69,0.98,0.69,0.69,0.88,0.75,0.70,0.70,0.75,0.70,0.75,0.70,0.70,0.70,0.70,0.75,0.70,0.75,0.98,0.70,0.75,0.69,0.70,0.98,0.91,0.69,0.69,0.70,0.70,0.98,0.70,0.69,0.75,0.75,0.70,0.70,0.75,0.91,0.70,0.68,0.70,0.70,0.69,0.75,0.75,0.98,0.70,0.69
state17.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.85,0.85,0.85,0.78,0.78,0.66,0.85,0.69,1.00,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state67.html,0.70,0.98,0.84,0.70,0.69,0.75,0.80,0.69,0.70,0.70,0.75,0.75,0.80,0.70,0.98,0.69,1.00,0.69,0.69,0.88,0.75,0.70,0.70,0.75,0.70,0.76,0.70,0.70,0.70,0.70,0.75,0.70,0.75,0.98,0.70,0.75,0.69,0.70,0.98,0.91,0.69,0.69,0.70,0.70,0.98,0.70,0.69,0.75,0.75,0.70,0.70,0.75,0.91,0.70,0.68,0.70,0.70,0.69,0.75,0.75,0.98,0.70,0.69
state88.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.84,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,1.00,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state30.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.85,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,1.00,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state47.html,0.67,0.87,0.76,0.67,0.67,0.72,0.73,0.67,0.67,0.67,0.72,0.72,0.71,0.67,0.88,0.67,0.88,0.67,0.67,1.00,0.72,0.67,0.67,0.73,0.67,0.75,0.67,0.67,0.67,0.67,0.72,0.67,0.74,0.88,0.67,0.72,0.67,0.67,0.88,0.95,0.67,0.67,0.67,0.67,0.88,0.67,0.67,0.72,0.72,0.67,0.67,0.72,0.94,0.67,0.66,0.67,0.67,0.67,0.72,0.72,0.87,0.67,0.67
state110.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,1.00,0.84,0.84,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,1.00,0.84,0.84,0.99,0.73,0.84,0.76,0.79,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state106.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,1.00,1.00,0.82,0.99,0.64,0.99,0.99,0.99,1.00,0.84,0.99,0.82,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,1.00,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state92.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.83,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,1.00,1.00,0.82,0.99,0.64,0.99,0.99,0.99,1.00,0.83,0.99,0.82,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,1.00,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.83,0.83,0.70,0.99,0.85
state85.html,0.83,0.75,0.74,0.82,0.77,0.98,0.78,0.82,0.83,0.83,0.98,0.98,0.69,0.82,0.75,0.77,0.75,0.77,0.77,0.73,0.98,0.82,0.82,1.00,0.83,0.69,0.83,0.82,0.83,0.82,0.98,0.83,1.00,0.75,0.82,0.98,0.77,0.82,0.75,0.74,0.77,0.77,0.83,0.82,0.75,0.82,0.77,0.98,0.98,0.82,0.82,0.98,0.74,0.83,0.75,0.78,0.83,0.77,0.98,0.98,0.75,0.83,0.77
state50.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state11.html,0.65,0.75,0.77,0.64,0.64,0.68,0.69,0.64,0.65,0.64,0.68,0.68,0.68,0.64,0.75,0.64,0.76,0.64,0.64,0.75,0.68,0.64,0.64,0.69,0.65,1.00,0.65,0.64,0.65,0.64,0.68,0.65,0.69,0.76,0.64,0.68,0.64,0.64,0.75,0.75,0.64,0.64,0.65,0.64,0.75,0.64,0.64,0.68,0.68,0.64,0.64,0.68,0.75,0.65,0.64,0.64,0.65,0.64,0.68,0.68,0.75,0.65,0.65
state70.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state27.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,1.00,0.99,0.99,0.84,0.99,0.83,0.70,1.00,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,1.00,0.70,1.00,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state32.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state65.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,1.00,1.00,0.82,0.99,0.64,0.99,0.99,0.99,1.00,0.84,0.99,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,1.00,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
