,state41.html,state16.html,state9.html,state100.html,state57.html,state94.html,state5.html,state20.html,state98.html,state61.html,state36.html,state76.html,index.html,state83.html,state56.html,state17.html,state67.html,state88.html,state30.html,state47.html,state110.html,state106.html,state92.html,state85.html,state50.html,state11.html,state70.html,state27.html,state32.html,state65.html,state108.html,state90.html,state104.html,state12.html,state112.html,state45.html,state13.html,state52.html,state29.html,state87.html,state68.html,state48.html,state25.html,state72.html,state38.html,state96.html,state79.html,state102.html,state114.html,state43.html,state34.html,state63.html,state22.html,state59.html,state7.html,state6.html,state19.html,state23.html,state74.html,state54.html,state78.html,state81.html,state39.html
state108.html,0.84,0.75,0.74,0.83,0.78,0.99,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.83,0.98,0.84,0.68,0.84,0.84,0.84,0.84,1.00,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,0.99,0.73,0.84,0.76,0.78,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state90.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state104.html,0.83,0.75,0.74,0.82,0.77,0.98,0.78,0.82,0.83,0.83,0.98,0.98,0.69,0.82,0.75,0.77,0.75,0.77,0.77,0.74,0.98,0.82,0.82,1.00,0.83,0.69,0.83,0.83,0.83,0.83,0.98,0.83,1.00,0.75,0.83,0.98,0.77,0.83,0.75,0.74,0.77,0.77,0.83,0.83,0.75,0.82,0.77,0.98,0.98,0.82,0.82,0.98,0.74,0.83,0.75,0.78,0.83,0.77,0.98,0.98,0.75,0.83,0.77
state12.html,0.70,0.98,0.84,0.70,0.69,0.75,0.80,0.69,0.70,0.70,0.75,0.75,0.80,0.70,0.98,0.69,0.98,0.69,0.69,0.88,0.75,0.70,0.70,0.75,0.70,0.76,0.70,0.70,0.70,0.70,0.75,0.70,0.75,1.00,0.70,0.75,0.69,0.70,0.98,0.91,0.69,0.69,0.70,0.70,0.98,0.70,0.69,0.75,0.75,0.70,0.70,0.75,0.91,0.70,0.68,0.70,0.70,0.69,0.75,0.75,0.98,0.70,0.69
state112.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,1.00,0.99,0.99,0.84,0.99,0.83,0.70,1.00,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,1.00,0.70,1.00,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state45.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.84,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,1.00,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,0.99,0.74,0.84,0.76,0.79,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state13.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.85,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,1.00,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state52.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,0.99,0.99,0.99,0.84,0.99,0.83,0.70,0.99,0.84,0.85,1.00,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state29.html,0.70,0.98,0.84,0.70,0.69,0.75,0.80,0.69,0.70,0.70,0.75,0.75,0.80,0.70,0.98,0.69,0.98,0.69,0.69,0.88,0.75,0.70,0.70,0.75,0.70,0.75,0.70,0.70,0.70,0.70,0.75,0.70,0.75,0.98,0.70,0.75,0.69,0.70,1.00,0.91,0.69,0.69,0.70,0.70,0.98,0.70,0.69,0.75,0.75,0.70,0.70,0.75,0.91,0.70,0.68,0.70,0.70,0.69,0.75,0.75,0.98,0.70,0.69
state87.html,0.68,0.90,0.79,0.68,0.68,0.73,0.75,0.68,0.68,0.68,0.73,0.73,0.73,0.68,0.91,0.68,0.91,0.68,0.68,0.95,0.73,0.68,0.68,0.74,0.68,0.75,0.68,0.68,0.68,0.68,0.73,0.68,0.74,0.91,0.68,0.73,0.68,0.68,0.91,1.00,0.68,0.68,0.68,0.68,0.90,0.68,0.68,0.73,0.73,0.68,0.68,0.73,0.98,0.68,0.67,0.68,0.68,0.68,0.73,0.73,0.90,0.68,0.68
state68.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.85,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,1.00,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state48.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.85,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,1.00,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state25.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state72.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,1.00,0.99,0.99,0.84,0.99,0.83,0.70,1.00,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,1.00,0.70,1.00,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state38.html,0.70,0.98,0.84,0.70,0.69,0.75,0.80,0.69,0.70,0.70,0.75,0.75,0.80,0.70,0.98,0.69,0.98,0.69,0.69,0.88,0.75,0.70,0.70,0.75,0.70,0.75,0.70,0.70,0.70,0.70,0.75,0.70,0.75,0.98,0.70,0.75,0.69,0.70,0.98,0.90,0.69,0.69,0.70,0.70,1.00,0.70,0.69,0.75,0.75,0.70,0.70,0.75,0.91,0.70,0.68,0.70,0.70,0.69,0.75,0.75,0.98,0.70,0.69
state96.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,1.00,0.99,0.99,0.84,0.99,0.82,0.70,1.00,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,1.00,0.70,1.00,0.85,0.84,0.84,0.99,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state79.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.84,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,1.00,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,0.99
state102.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.84,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,1.00,0.99,0.84,0.84,0.99,0.74,0.84,0.76,0.79,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state114.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,1.00,0.84,0.84,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,1.00,0.84,0.84,0.99,0.73,0.84,0.76,0.79,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state43.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,1.00,1.00,0.82,0.99,0.64,0.99,0.99,0.99,1.00,0.84,0.99,0.82,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,1.00,0.99,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state34.html,0.99,0.70,0.69,0.99,0.85,0.84,0.75,0.98,0.99,0.99,0.84,0.84,0.67,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.82,0.99,0.64,0.99,0.99,0.99,0.99,0.84,0.99,0.82,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,0.99,0.99,0.70,0.99,0.85,0.84,0.84,0.99,1.00,0.84,0.68,0.99,0.83,0.86,0.99,0.85,0.84,0.84,0.70,0.99,0.85
state63.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.84,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,1.00,0.73,0.84,0.76,0.79,0.84,0.78,0.99,0.99,0.75,0.84,0.78
state22.html,0.68,0.91,0.79,0.68,0.68,0.74,0.75,0.68,0.68,0.68,0.73,0.73,0.73,0.68,0.91,0.68,0.91,0.68,0.68,0.94,0.73,0.68,0.68,0.74,0.68,0.75,0.68,0.68,0.68,0.68,0.73,0.68,0.74,0.91,0.68,0.74,0.68,0.68,0.91,0.98,0.68,0.68,0.68,0.68,0.91,0.68,0.68,0.74,0.73,0.68,0.68,0.73,1.00,0.68,0.67,0.68,0.68,0.68,0.74,0.73,0.91,0.68,0.68
state59.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state7.html,0.83,0.68,0.67,0.83,0.96,0.76,0.73,0.84,0.83,0.83,0.76,0.76,0.64,0.83,0.68,0.96,0.68,0.96,0.96,0.66,0.76,0.83,0.83,0.75,0.83,0.64,0.83,0.83,0.83,0.83,0.76,0.83,0.75,0.68,0.83,0.76,0.96,0.83,0.68,0.67,0.96,0.96,0.83,0.83,0.68,0.83,0.96,0.76,0.76,0.83,0.83,0.76,0.67,0.83,1.00,0.96,0.83,0.96,0.76,0.76,0.67,0.83,0.96
state6.html,0.86,0.70,0.69,0.86,0.99,0.79,0.76,0.85,0.86,0.86,0.79,0.78,0.67,0.86,0.70,0.99,0.70,0.99,0.99,0.67,0.79,0.86,0.86,0.78,0.86,0.64,0.86,0.86,0.86,0.86,0.78,0.86,0.78,0.70,0.86,0.79,0.99,0.86,0.70,0.68,0.99,0.99,0.86,0.86,0.70,0.86,0.99,0.79,0.79,0.86,0.86,0.79,0.68,0.86,0.96,1.00,0.86,0.99,0.79,0.78,0.70,0.86,0.99
state19.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state23.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.84,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.64,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,1.00,0.78,0.78,0.69,0.85,0.99
state74.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,0.99,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.83,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,0.99,0.74,0.84,0.76,0.79,0.84,0.78,1.00,0.99,0.75,0.84,0.78
state54.html,0.84,0.75,0.74,0.84,0.78,0.99,0.79,0.83,0.84,0.84,0.99,1.00,0.70,0.84,0.75,0.78,0.75,0.78,0.78,0.72,0.99,0.84,0.83,0.98,0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.98,0.75,0.84,0.99,0.78,0.84,0.75,0.73,0.78,0.78,0.84,0.84,0.75,0.84,0.78,0.99,0.99,0.84,0.84,0.99,0.73,0.84,0.76,0.78,0.84,0.78,0.99,1.00,0.75,0.84,0.78
state78.html,0.70,0.98,0.84,0.70,0.69,0.75,0.80,0.69,0.70,0.70,0.75,0.75,0.80,0.70,0.98,0.69,0.98,0.69,0.69,0.87,0.75,0.70,0.70,0.75,0.70,0.75,0.70,0.70,0.70,0.70,0.75,0.70,0.75,0.98,0.70,0.75,0.69,0.70,0.98,0.90,0.69,0.69,0.70,0.70,0.98,0.70,0.69,0.75,0.75,0.70,0.70,0.75,0.91,0.70,0.67,0.70,0.70,0.69,0.75,0.75,1.00,0.70,0.69
state81.html,1.00,0.70,0.70,0.99,0.85,0.84,0.75,0.99,1.00,0.99,0.84,0.84,0.68,0.99,0.70,0.85,0.70,0.85,0.85,0.67,0.84,0.99,0.99,0.83,1.00,0.65,1.00,0.99,1.00,0.99,0.84,1.00,0.83,0.70,0.99,0.84,0.85,0.99,0.70,0.68,0.85,0.85,1.00,0.99,0.70,0.99,0.85,0.84,0.84,0.99,0.99,0.84,0.68,1.00,0.83,0.86,1.00,0.85,0.84,0.84,0.70,1.00,0.85
state39.html,0.85,0.69,0.69,0.85,0.99,0.78,0.75,0.85,0.85,0.85,0.78,0.78,0.66,0.85,0.69,0.99,0.69,0.99,0.99,0.67,0.78,0.85,0.85,0.77,0.85,0.65,0.85,0.85,0.85,0.85,0.78,0.85,0.77,0.69,0.85,0.78,0.99,0.85,0.69,0.68,0.99,0.99,0.85,0.85,0.69,0.85,0.99,0.78,0.78,0.85,0.85,0.78,0.68,0.85,0.96,0.99,0.85,0.99,0.78,0.78,0.69,0.85,1.00
